,證券代號,證券名稱
507,2415,錩新
508,2417,圓剛
509,2419,仲琦
510,2420,新巨
511,2421,建準
512,2423,固緯
513,2424,隴華
514,2425,承啟
515,2426,鼎元
516,2427,三商電
517,2428,興勤
518,2429,銘旺科
519,2431,聯昌
520,2433,互盛電
521,2434,統懋
522,2436,偉詮電
523,2438,翔耀
524,2439,美律
525,2440,太空梭
526,2441,超豐
527,2442,新美齊
528,2443,昶虹
529,2444,兆勁
530,2449,京元電子
531,2450,神腦
532,2451,創見
533,2453,凌群
534,2454,聯發科
535,2455,全新
536,2457,飛宏
537,2458,義隆
538,2459,敦吉
539,2460,建通
540,2461,光群雷
541,2462,良得電
542,2464,盟立
543,2465,麗臺
544,2466,冠西電
545,2467,志聖
546,2468,華經
547,2471,資通
548,2472,立隆電
549,2474,可成
550,2476,鉅祥
551,2477,美隆電
552,2478,大毅
553,2480,敦陽科
554,2481,強茂
555,2482,連宇
556,2483,百容
557,2484,希華
558,2485,兆赫
559,2486,一詮
560,2488,漢平
561,2489,瑞軒
562,2491,吉祥全
563,2492,華新科
564,2493,揚博
565,2495,普安
566,2496,卓越
567,2497,怡利電
568,2498,宏達電
569,2501,國建
570,2504,國產
571,2505,國揚
572,2506,太設
573,2509,全坤建
574,2511,太子
575,2514,龍邦
576,2515,中工
577,2516,新建
578,2520,冠德
579,2524,京城
580,2527,宏璟
581,2528,皇普
582,2530,華建
583,2534,宏盛
584,2535,達欣工
585,2536,宏普
586,2537,聯上發
587,2538,基泰
588,2539,櫻花建
589,2540,愛山林
590,2542,興富發
591,2543,皇昌
592,2545,皇翔
593,2546,根基
594,2547,日勝生
595,2548,華固
596,2597,潤弘
597,2601,益航
598,2603,長榮
599,2605,新興
600,2606,裕民
601,2607,榮運
602,2608,嘉里大榮
603,2609,陽明
604,2610,華航
605,2611,志信
606,2612,中航
607,2613,中櫃
608,2614,東森
609,2615,萬海
610,2616,山隆
611,2617,台航
612,2618,長榮航
613,2630,亞航
614,2633,台灣高鐵
615,2634,漢翔
616,2636,台驊投控
617,2637,慧洋-KY
618,2642,宅配通
619,2701,萬企
620,2702,華園
621,2704,國賓
622,2705,六福
623,2706,第一店
624,2707,晶華
625,2712,遠雄來
626,2722,夏都
627,2723,美食-KY
628,2727,王品
629,2731,雄獅
630,2739,寒舍
631,2748,雲品
632,2753,八方雲集
633,2801,彰銀
634,2809,京城銀
635,2812,台中銀
636,2816,旺旺保
637,2820,華票
638,2832,台產
639,2834,臺企銀
640,2836,高雄銀
641,2836A,高雄銀甲特
642,2838,聯邦銀
643,2838A,聯邦銀甲特
644,2845,遠東銀
645,2849,安泰銀
646,2850,新產
647,2851,中再保
648,2852,第一保
649,2855,統一證
650,2867,三商壽
651,2880,華南金
652,2881,富邦金
653,2881A,富邦特
654,2881B,富邦金乙特
655,2881C,富邦金丙特
656,2882,國泰金
657,2882A,國泰特
658,2882B,國泰金乙特
659,2883,開發金
660,2883B,開發金乙特
661,2884,玉山金
662,2885,元大金
663,2886,兆豐金
664,2887,台新金
665,2887E,台新戊特
666,2887F,台新戊特二
667,2887Z1,台新己特
668,2888,新光金
669,2888A,新光金甲特
670,2888B,新光金乙特
671,2889,國票金
672,2890,永豐金
673,2891,中信金
674,2891B,中信金乙特
675,2891C,中信金丙特
676,2892,第一金
677,2897,王道銀行
678,2897A,王道銀甲特
679,2901,欣欣
680,2903,遠百
681,2904,匯僑
682,2905,三商
683,2906,高林
684,2908,特力
685,2910,統領
686,2911,麗嬰房
687,2912,統一超
